match id,team1_id,team2_id,winner_id,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,toss_winner_team_id
8887675,33921,33928,33921,field,Be Ol Ht,Hobart,2022-01-01,day/night match,Bg Bh Le,2021/22,6348,0.583333333333333,0.672131147540984,166.933333333333,0,162.333333333333,33928
8887689,33935,33949,33935,bat,Jn Ol Me,Melbourne,2022-01-02,day/night match,Bg Bh Le,2021/22,2932,1.22222222222222,1.32786885245902,178.733333333333,100,0,33935
8887703,33949,33942,33942,bat,Me Ct Gd,Melbourne,2022-01-03,night match,Bg Bh Le,2021/22,440,0.4,41,171.066666666667,50,162.6875,33949
8887717,33928,33914,33914,field,Ae Ol,Adelaide,2022-01-05,night match,Bg Bh Le,2021/22,930,1,61,173.333333333333,100,161.045454545455,33914
8887731,33921,33942,33942,field,GA Sm Sh Gg Va,Geelong,2022-01-06,night match,Bg Bh Le,2021/22,3961,0.363636363636364,1.95238095238095,167,100,0,33942
9027381,17583,17653,17653,field,En Pk Ad,Auckland,2022-01-07,day/night match,Sr Sh,2021/22,1994,0.75,0.753086419753086,150.666666666667,0,108.5,17653
8887759,33921,33928,33928,field,Be Ct Gd Wa Be,Brisbane,2022-01-08,night match,Bg Bh Le,2021/22,1476,0.5,0.672131147540984,163.933333333333,100,167.9,33928
9027388,17744,18570,18570,field,Pa Pk Nw Ph,New Plymouth,2022-01-08,day match,Sr Sh,2021/22,3135,1,0.51219512195122,176.866666666667,50,172.166666666667,18570
8887766,33956,33935,33935,bat,Il Ss Sm Cs Hr,Coffs Harbour,2022-01-09,night match,Bg Bh Le,2021/22,11206,0.875,1,173.066666666667,75,0,33956
8887773,33914,33949,33949,field,Me Ct Gd,Melbourne,2022-01-10,day match,Bg Bh Le,2021/22,440,0.583333333333333,1,163.066666666667,50,158.777777777778,33949
8887787,33956,33942,33956,bat,GA Sm Sh Gg Va,Geelong,2022-01-11,night match,Bg Bh Le,2021/22,3961,0.666666666666667,1.97560975609756,173.266666666667,0,128.5,33956
8887661,33935,33949,33935,bat,GA Sm Sh Gg Va,Geelong,2022-01-11,day match,Bg Bh Le,2021/22,3961,0.466666666666667,1.97560975609756,178.333333333333,100,128.5,33935
8887808,33942,33949,33949,bat,Ds Sm Me,Melbourne,2022-01-13,night match,Bg Bh Le,2021/22,8252,0.8,1,157.733333333333,66.67,161.75,33942
9027395,17982,17744,17982,field,By Ol Mt Mi,Mount Maunganui,2022-01-14,night match,Sr Sh,2021/22,17681,0.5,3.85714285714286,144.214285714286,100,137.333333333333,17744
8887822,33956,33963,33956,field,Sy Ct Gd,Sydney,2022-01-15,night match,Bg Bh Le,2021/22,937,1.14285714285714,1.32786885245902,172.2,66.67,149.5,33963
9027402,18360,17583,17583,bat,En Pk Ad,Auckland,2022-01-15,day/night match,Sr Sh,2021/22,1994,0.75,0.344262295081967,167.071428571429,0,139,18360
9027409,18570,17982,17982,bat,Cm Ol Nw Wi,Whangarei,2022-01-16,day match,Sr Sh,2021/22,17632,1.16666666666667,0.405940594059406,170.533333333333,100,0,18570
8887829,33921,33949,33949,bat,Me Ct Gd,Melbourne,2022-01-16,night match,Bg Bh Le,2021/22,440,0.4375,0.51219512195122,160.4,50,156.85,33921
8887836,33956,33914,33914,bat,Ae Ol,Adelaide,2022-01-17,day/night match,Bg Bh Le,2021/22,930,1.125,3.85714285714286,174.466666666667,100,158.25,33956
8887843,33921,33935,33935,bat,Ds Sm Me,Melbourne,2022-01-17,night match,Bg Bh Le,2021/22,8252,0.4375,0.259259259259259,158.8,25,157.388888888889,33921
8887850,33928,33942,33928,bat,Ds Sm Me,Melbourne,2022-01-18,night match,Bg Bh Le,2021/22,8252,1.125,1.48780487804878,168,50,157.2,33928
9027262,17653,17583,17653,field,Hy Ol Ch,Christchurch,2022-01-18,night match,Sr Sh,2021/22,664,0.916666666666667,1,162.6,100,157.833333333333,17583
