iter	Logloss
0	0.6787085082
1	0.6685071506
2	0.6601764755
3	0.6500096345
4	0.6414612188
5	0.6345296835
6	0.6253508549
7	0.6189118896
8	0.6107357388
9	0.6040247425
10	0.5974094953
11	0.5938013782
12	0.5859408952
13	0.5785360597
14	0.5710040832
15	0.5653743208
16	0.5605355933
17	0.5548796109
18	0.5460079072
19	0.5424043192
20	0.5371764278
21	0.5296139656
22	0.5246309765
23	0.5195003935
24	0.5170149292
25	0.5113148563
26	0.5038107853
27	0.49866668
28	0.4922890743
29	0.4866934865
30	0.4807123146
31	0.4750808674
32	0.4706938163
33	0.4669456268
34	0.4636581964
35	0.4563677344
36	0.4527573943
37	0.4483970347
38	0.4452262579
39	0.4414120941
40	0.4363896087
41	0.4319743681
42	0.4293146777
43	0.4214582212
44	0.4198970871
45	0.4179535793
46	0.4157192393
47	0.4119006539
48	0.4063111613
49	0.404527209
50	0.4012232479
51	0.3969427026
52	0.3916002316
53	0.3848763385
54	0.3828020814
55	0.3803985849
56	0.3752325734
57	0.3692918693
58	0.3664235166
59	0.3621302912
60	0.3580399999
61	0.3540519874
62	0.3508674176
63	0.3466806329
64	0.3433482917
65	0.3395565307
66	0.3374414084
67	0.3320588619
68	0.3277638381
69	0.3227625257
70	0.3208404365
71	0.3168672893
72	0.3135533223
73	0.3086564038
74	0.3058700163
75	0.3027183086
76	0.2998437228
77	0.2969231734
78	0.291657186
79	0.288709644
80	0.2849394351
81	0.2807462102
82	0.2778495649
83	0.274471844
84	0.2704797158
85	0.2684437906
86	0.2661529083
87	0.264092588
88	0.2610642316
89	0.2571886173
90	0.2539234259
91	0.2505867249
92	0.2482663799
93	0.2446744235
94	0.2431240966
95	0.2393508916
96	0.2363933571
97	0.2346175049
98	0.2308255613
99	0.2282184416
