iter	Passed	Remaining
0	48	4790
1	49	2444
2	51	1661
3	53	1272
4	54	1040
5	56	885
6	58	771
7	59	684
8	61	617
9	62	562
10	63	516
11	65	479
12	66	446
13	68	419
14	70	397
15	71	377
16	73	358
17	74	341
18	76	324
19	77	310
20	78	296
21	80	284
22	81	273
23	83	263
24	84	253
25	85	244
26	88	238
27	89	231
28	91	223
29	92	216
30	94	210
31	95	203
32	97	197
33	98	191
34	99	185
35	101	180
36	103	176
37	105	171
38	106	166
39	108	162
40	109	157
41	111	153
42	112	149
43	114	145
44	115	141
45	117	138
46	118	133
47	120	130
48	121	126
49	123	123
50	124	120
51	126	116
52	127	113
53	129	110
54	130	107
55	132	104
56	134	101
57	136	98
58	137	95
59	138	92
60	140	89
61	141	86
62	143	84
63	144	81
64	146	78
65	147	76
66	149	73
67	151	71
68	154	69
69	155	66
70	157	64
71	158	61
72	160	59
73	161	56
74	163	54
75	164	52
76	166	49
77	168	47
78	170	45
79	171	42
80	172	40
81	174	38
82	175	35
83	177	33
84	178	31
85	179	29
86	181	27
87	182	24
88	184	22
89	186	20
90	188	18
91	190	16
92	191	14
93	193	12
94	194	10
95	196	8
96	197	6
97	200	4
98	201	2
99	203	0
